trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,14,-16.306259417485194,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-8.895440789688521,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,14,16.473591314548166,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-66.38085896444946,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-127.24900720481854,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-61.03606497984457,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,8,-21.649355247190268,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,3.8356927394817744,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-18.89453206451306,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",35,0,-94.41243536930872,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-116.34232617270847,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-192.28262407124407,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,0,-146.0286896224303,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,6,-14.030372429772385,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,13,0.974777430089292,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,0,-6.763948847396124,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-142.4539971885753,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,0,-56.981499644833406,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,3,-60.90364749295432,"{0: 18, 1: 1, 2: 0, 3: 2, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,4,-17.840031352521212,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-6.642329351328113,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-143.9070556892893,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-18.863202807953996,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,-3.4637773561195013,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,6,-12.242952442754936,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",35,8,-71.72567778770609,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,2,6.715847359627252,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
